Old Name,New Name
ct_causes,intuitive_causes_of_illness
ct_condition_cause,intuitive_condition_cause_votes
ct_condition_symptom,intuitive_condition_symptom_severity_votes
ct_condition_treatment,intuitive_condition_treatment_effectiveness
ct_conditions,intuitive_conditions
ct_side_effects,intuitive_side_effects
ct_symptoms,intuitive_symptoms
ct_treatment_side_effect,intuitive_treatment_side_effect_frequency
ct_treatments,intuitive_treatments
variable,global_variable
correlation,user_variable_relationship
aggregate_correlation,global_variable_relationship
